Job Class,Percentage,Link
Management, 6.1, https://www.amazon.com/Managing-Dummies-Bob-Nelson/dp/0470618132
Business and Financial operations,5,https://www.amazon.com/Investment-Banking-Dummies-Matthew-Krantz/dp/1118615778/ref=sr_1_1?ie=UTF8&qid=1474666992&sr=8-1&keywords=for+dummies+business+financial+operations
Computer and Mathematical,2.7,https://www.amazon.com/Hacking-Dummies-Computers-Kevin-Beaver/dp/1119154685/ref=sr_1_3?ie=UTF8&qid=1474667061&sr=8-3&keywords=for+dummies+computer
Architecture and Engineering,1.7,https://www.amazon.com/Architecture-Dummies-Debrah-K-Dietsch/dp/0764553968/ref=sr_1_1?ie=UTF8&qid=1474667077&sr=8-1&keywords=for+dummies+architecture
"Life, Physical and Social Science",0.9, https://www.amazon.com/Physical-Social-Science-Technician-Special/dp/1533609462
Community and Social Service,1.6,https://www.amazon.com/Social-Work-Career-Development-Handbook/dp/0871013630/ref=sr_1_1?ie=UTF8&qid=1474667193&sr=8-1&keywords=social+service+career
Legal,0.8, https://www.amazon.com/Paralegal-Career-Dummies-Scott-Hatch/dp/0471799564/ref=sr_1_1?s=books&ie=UTF8&qid=1474648211&sr=1-1&keywords=legal+career+for+dummies
"Education, training and library",6.1, https://www.amazon.com/Training-Dummies-Elaine-Biech/dp/0764559850/ref=sr_1_1?s=books&ie=UTF8&qid=1474648133&sr=1-1&keywords=education+training+for+dummies
"Arts, design, entertainment, sports and media",1.7, https://www.amazon.com/Art-Dummies-Thomas-Hoving/dp/0764551043/ref=sr_1_1?s=books&ie=UTF8&qid=1474648301&sr=1-1&keywords=arts+design+for+dummies
Healthcare practioners and technical,5.5, https://www.amazon.com/Medical-Terminology-Dummies-Beverley-Henderson/dp/1118944046/ref=sr_1_3?s=books&ie=UTF8&qid=1474648182&sr=1-3&keywords=healthcare+for+dummies
Healthcare support,2.8,https://www.amazon.com/Medical-Technicians-Health-Care-Support-Century-ebook/dp/1422218171/ref=sr_1_3?ie=UTF8&qid=1474667259&sr=8-3&keywords=career+healthcare+support
Protective service,2.3,http://www.floridatechonline.com/blog/criminal-justice/protective-support-technician-career-and-salary-profile/
Food preparation and serving,8.3,https://www.amazon.com/Raw-Food-Dummies-Cherie-Soria/dp/0471770116/ref=sr_1_1?ie=UTF8&qid=1474667291&sr=8-1&keywords=for+dummies+food+preparation
Building and grounds cleaning and maintenance,3.7,https://www.amazon.com/Building-Your-Own-Home-Dummies/dp/0764557092/ref=sr_1_1?ie=UTF8&qid=1474667402&sr=8-1&keywords=for+dummies+building+maintenance
Personal care and service,4,https://www.amazon.com/Planning-Long-Term-Dummies-Carol-Levine/dp/1118725751/ref=sr_1_1?s=books&ie=UTF8&qid=1474648218&sr=1-1&keywords=care+for+dummies
Sales,10.2,https://www.amazon.com/Sales-Management-Dummies-Butch-Bellah/dp/1119094224/ref=sr_1_1?ie=UTF8&qid=1474667438&sr=8-1&keywords=for+dummies+sales
Office and administrative support,15.1,https://www.amazon.com/Office-2016-All---One-Dummies/dp/1119083125/ref=sr_1_2?ie=UTF8&qid=1474667462&sr=8-2&keywords=for+dummies+office
"Farming, fishing and forestry",0.6, https://www.amazon.com/Raising-Chickens-Dummies-Kimberley-Willis/dp/B00QQMV16S/ref=sr_1_fkmr0_1?s=books&ie=UTF8&qid=1474648326&sr=8-1-fkmr0&keywords=farming+fishing+for+dummies
Construction and extraction,4.3,https://www.amazon.com/Minecraft-Construction-Dummies-Adam-Cordeiro/dp/1118968409/ref=sr_1_1?ie=UTF8&qid=1474667484&sr=8-1&keywords=for+dummies+construction
"Installation, maintenance and repair",3.8,https://www.amazon.com/Auto-Repair-Dummies-Deanna-Sclar/dp/076459902X/ref=sr_1_1?ie=UTF8&qid=1474667524&sr=8-1&keywords=for+dummies+repair
Production,6.1,https://www.amazon.com/Total-Sportscasting-Performance-Production-Development/dp/0415813921/ref=sr_1_1?ie=UTF8&qid=1474667550&sr=8-1&keywords=career+production
Transportation and material moving,6.5,https://www.amazon.com/Motorcycling-Dummies-Bill-Kresnak/dp/0470245875/ref=sr_1_1?ie=UTF8&qid=1474667565&sr=8-1&keywords=for+dummies+transportation
Total,99.8
